doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2025-08-31-adaderanalk-b4307ee0,adaderanalk-b4307ee0,2025-08-31,5 underworld figures including ‘Kehelbaddara Padme’ detained under PTA,https://www.adaderana.lk/news/112037/5-underworld-figures-including-kehelbaddara-padme-detained-under-pta,en,adaderanalk,1756647000.0,adaderana.lk
lk_news,2025-08-31-adaderanalk-b3eef9d2,adaderanalk-b3eef9d2,2025-08-31,Ex-President Ranil to invite all opposition leaders to UNP’s convention,https://www.adaderana.lk/news/112038/ex-president-ranil-to-invite-all-opposition-leaders-to-unps-convention,en,adaderanalk,1756651920.0,adaderana.lk
lk_news,2025-08-31-adaderanalk-3cbc05ab,adaderanalk-3cbc05ab,2025-08-31,US judge blocks deportations of unaccompanied migrant children to Guatemala,https://www.adaderana.lk/news/112039/us-judge-blocks-deportations-of-unaccompanied-migrant-children-to-guatemala,en,adaderanalk,1756656840.0,adaderana.lk
lk_news,2025-08-31-economynextcom-09942863,economynextcom-09942863,2025-08-31,"Sri Lanka foreign reserves not growing, CB swaps on the rise: Kabir",https://economynext.com/sri-lanka-foreign-reserves-not-growing-cb-swaps-on-the-rise-kabir-238857/,en,economynextcom,1756662420.0,economynext.com
lk_news,2025-09-01-dailyftlk-f13df9b6,dailyftlk-f13df9b6,2025-09-01,Educational reforms meaningless unless learning culture is inculcated,https://www.ft.lk/columns/Educational-reforms-meaningless-unless-learning-culture-is-inculcated/4-781022,en,dailyftlk,1756677229.0,ft.lk
lk_news,2025-09-01-dailyftlk-b2354d36,dailyftlk-b2354d36,2025-09-01,Tom Puthiyamadam and Jayson Traxler share key insights to Grant Thornton’s acquisition of Stax,https://www.ft.lk/business/Tom-Puthiyamadam-and-Jayson-Traxler-share-key-insights-to-Grant-Thornton-s-acquisition-of-Stax/34-781041,en,dailyftlk,1756683688.0,ft.lk
lk_news,2025-09-01-dailyftlk-22fd9f17,dailyftlk-22fd9f17,2025-09-01,"Colombo Uni. to host program on “Embodied Intelligence, Buddhist Meditation Practice, and AI Tech Entrepreneurship”",https://www.ft.lk/business/Colombo-Uni-to-host-program-on-Embodied-Intelligence-Buddhist-Meditation-Practice-and-AI-Tech-Entrepreneurship/34-781042,en,dailyftlk,1756684363.0,ft.lk
lk_news,2025-09-01-dailyftlk-79a4f2cc,dailyftlk-79a4f2cc,2025-09-01,Kemcare Technologies  wins “Innovator in Cosmetic Ingredients Distribution”  Award at Iconic Awards 2025,https://www.ft.lk/business/Kemcare-Technologies-wins-Innovator-in-Cosmetic-Ingredients-Distribution-Award-at-Iconic-Awards-2025/34-781043,en,dailyftlk,1756684533.0,ft.lk
lk_news,2025-09-01-dailyftlk-3c636cda,dailyftlk-3c636cda,2025-09-01,SITREK Group marks 48 years with awards and celebration,https://www.ft.lk/business/SITREK-Group-marks-48-years-with-awards-and-celebration/34-781050,en,dailyftlk,1756686780.0,ft.lk
lk_news,2025-09-01-adaderanalk-4a3423a1,adaderanalk-4a3423a1,2025-09-01,Govt to launch “Seiri Week” today to dispose of unnecessary items accumulated in state institutions,https://www.adaderana.lk/news/112044/govt-to-launch-seiri-week-today-to-dispose-of-unnecessary-items-accumulated-in-state-institutions,en,adaderanalk,1756691580.0,adaderana.lk
